University,Engineering Major,Median 1-Year Salary,Median 5-Year Salary,Median 15-Year Salary
Arizona State University,Aerospace Engineering,64404,93052,N/A
Arizona State University,Biomedical Engineering,62280,82277,N/A
Arizona State University,Chemical Engineering,67579,104967,N/A
Arizona State University,Civil Engineering,57954,80566,N/A
Arizona State University,Computer Engineering,71659,105602,N/A
Arizona State University,Construction Engineering,64450,91041,N/A
Arizona State University,Electrical Electronics & Communications Eng.,67449,99908,N/A
Arizona State University,Engineering (General),59370,78750,N/A
Arizona State University,Environmental Engineering,55983,76236,N/A
Arizona State University,Industrial Engineering,69017,93262,N/A
Arizona State University,Materials Engineering,64048,96544,N/A
Arizona State University,Mechanical Engineering,64933,93928,N/A
Auburn University,Aerospace Engineering,65328,84568,N/A
Auburn University,Biosystems Engineering,53915,72586,N/A
Auburn University,Chemical Engineering,72247,92268,N/A
Auburn University,Civil Engineering,57576,76324,N/A
Auburn University,Computer Engineering,72206,100927,N/A
Auburn University,Electrical Electronics & Communications Eng.,68923,89128,N/A
Auburn University,Industrial & Manufacturing Engineering,70278,85705,N/A
Auburn University,Materials Engineering,65511,84582,N/A
Auburn University,Mechanical Engineering,66819,86871,N/A
Auburn University,Polymer/Plastics Engineering,67889,83782,N/A
Auburn University,Software Engineering,76307,106527,N/A
Auburn University,Wireless Engineering,72206,100927,N/A
Binghamton University,Biomedical Engineering,54354,77253,N/A
Binghamton University,Computer Engineering,71774,103245,N/A
Binghamton University,Electrical Engineering,67331,105307,N/A
Binghamton University,Industrial & Systems Engineering,64558,97996,N/A
Binghamton University,Mechanical Engineering,64558,86168,N/A
Brown University,Biomedical Engineering,54544,71691,N/A
Brown University,Engineering (General),67480,88432,N/A
Brown University,Engineering Physics,58054,110944,N/A
California Institute of Technology,Electrical Electronics & Communications Eng.,83177,134454,N/A
California Institute of Technology,Engineering (General),66905,106441,N/A
California Institute of Technology,Mechanical Engineering,83177,134454,N/A
Carnegie Mellon University,Chemical Engineering,71854,116292,N/A
